ID_Producto,Codigo_Producto,Nombre_Producto,Categoria,Subcategoria,Color,Talla,Peso_Libras,Unidad_Medida,Linea_Producto,Clase_Producto,Estilo,Costo_Estandar,Precio_Lista,Margen_Bruto_$,Margen_Bruto_%,Stock_Actual,Valor_Inventario_Costo,Valor_Inventario_Precio_Lista,Ubicaciones_Disponibles,Estado_Inventario,Tipo_Adquisicion,Dias_Fabricacion,Punto_Reorden,Stock_Seguridad,Total_Ordenes_Historicas,Unidades_Vendidas_Historicas,Precio_Promedio_Vendido,Precio_Minimo_Vendido,Precio_Maximo_Vendido,Ingresos_Totales_Historicos,Descuento_Promedio_Historico_%,Descuento_Maximo_Historico_%,Descuento_Minimo_Sugerido_%,Descuento_Maximo_Sugerido_%,Indice_Rotacion,Dias_Desde_Ultima_Venta,Fecha_Inicio_Venta,Fecha_Fin_Venta,Fecha_Descontinuado,Primera_Venta_Real,Ultima_Venta_Real,Clasificacion_Ventas,Clasificacion_Margen,Precio_Con_Descuento_Minimo,Precio_Con_Descuento_Maximo,Rentabilidad_Unitaria_Min,Rentabilidad_Unitaria_Max,Potencial_Ingresos_Stock_Actual,Score_Prioridad_Venta
782,BK-M68B-38,"Mountain-200 Black, 38",Bikes,Mountain Bikes,Black,38,23.35,Centimeter,M ,H ,U ,1251.9813,2294.99,1043.01,45.44,188,235372.48,431458.12,2,Stock_Medio,Fabricado_Interno,4,75,100,963,2089,1826.02,1229.46,2294.99,3258189.42,0.02,5.0,13.63,31.81,11,4173.0,2012-05-30,,,2013-01-01,2014-05-30,Estrella,Margen_Medio,1982.18,1564.95,730.2,312.97,431458.12,38.86
783,BK-M68B-42,"Mountain-200 Black, 42",Bikes,Mountain Bikes,Black,42,23.77,Centimeter,M ,H ,U ,1251.9813,2294.99,1043.01,45.44,148,185293.23,339658.52,2,Stock_Medio,Fabricado_Interno,4,75,100,868,1775,1880.56,1229.46,2294.99,2841691.79,0.02,5.0,13.63,31.81,11,4173.0,2012-05-30,,,2013-01-02,2014-05-30,Estrella,Margen_Medio,1982.18,1564.95,730.2,312.97,339658.52,38.78
779,BK-M68S-38,"Mountain-200 Silver, 38",Bikes,Mountain Bikes,Silver,38,23.35,Centimeter,M ,H ,U ,1265.6195,2319.99,1054.37,45.44,137,173389.87,317838.63,2,Stock_Medio,Fabricado_Interno,4,75,100,830,1672,1918.37,1242.85,2319.99,2728136.3,0.01,2.0,13.63,31.81,12,4173.0,2012-05-30,,,2013-01-03,2014-05-30,Estrella,Margen_Medio,2003.78,1582.0,738.16,316.38,317838.63,41.76
781,BK-M68S-46,"Mountain-200 Silver, 46",Bikes,Mountain Bikes,Silver,46,24.13,Centimeter,M ,H ,U ,1265.6195,2319.99,1054.37,45.44,140,177186.73,324798.6,2,Stock_Medio,Fabricado_Interno,4,75,100,789,1465,1949.31,1201.42,2319.99,2450246.43,0.01,2.0,13.63,31.81,10,4173.0,2012-05-30,,,2013-01-03,2014-05-30,Estrella,Margen_Medio,2003.78,1582.0,738.16,316.38,324798.6,35.77
784,BK-M68B-46,"Mountain-200 Black, 46",Bikes,Mountain Bikes,Black,46,24.13,Centimeter,M ,H ,U ,1251.9813,2294.99,1043.01,45.44,137,171521.44,314413.63,2,Stock_Medio,Fabricado_Interno,4,75,100,807,1473,1923.21,1229.46,2294.99,2443984.15,0.0,2.0,13.63,31.81,10,4174.0,2012-05-30,,,2013-01-01,2014-05-29,Estrella,Margen_Medio,1982.18,1564.95,730.2,312.97,314413.63,35.76
780,BK-M68S-42,"Mountain-200 Silver, 42",Bikes,Mountain Bikes,Silver,42,23.77,Centimeter,M ,H ,U ,1265.6195,2319.99,1054.37,45.44,223,282233.15,517357.77,2,Stock_Alto,Fabricado_Interno,4,75,100,764,1445,1932.12,1242.85,2319.99,2394702.92,0.01,5.0,13.63,31.81,6,4173.0,2012-05-30,,,2013-01-02,2014-05-30,Estrella,Margen_Medio,2003.78,1582.0,738.16,316.38,517357.77,23.93
976,BK-R79Y-48,"Road-350-W Yellow, 48",Bikes,Road Bikes,Yellow,48,16.42,Centimeter,R ,M ,W ,1082.51,1700.99,618.48,36.36,227,245729.77,386124.73,2,Stock_Alto,Fabricado_Interno,4,75,100,566,1622,1296.96,850.5,1700.99,1774883.56,0.14,10.0,10.91,25.45,7,4176.0,2013-05-30,,,2013-05-30,2014-05-27,Estrella,Margen_Medio,1515.41,1268.09,432.9,185.58,386124.73,24.21
969,BK-T79U-60,"Touring-1000 Blue, 60",Bikes,Touring Bikes,Blue,60,25.9,Centimeter,T ,H ,U ,1481.9379,2384.07,902.13,37.84,129,191169.99,307545.03,2,Stock_Medio,Fabricado_Interno,4,75,100,439,1120,1747.7,1311.24,2384.07,1721242.51,0.08,5.0,11.35,26.49,8,4174.0,2013-05-30,,,2013-05-30,2014-05-29,Estrella,Margen_Medio,2113.48,1752.53,631.54,270.59,307545.03,27.46
973,BK-R79Y-40,"Road-350-W Yellow, 40",Bikes,Road Bikes,Yellow,40,15.35,Centimeter,R ,M ,W ,1082.51,1700.99,618.48,36.36,185,200264.35,314683.15,2,Stock_Medio,Fabricado_Interno,4,75,100,573,1477,1311.42,935.54,1700.99,1657198.18,0.07,5.0,10.91,25.45,7,4174.0,2013-05-30,,,2013-05-30,2014-05-29,Estrella,Margen_Medio,1515.41,1268.09,432.9,185.58,314683.15,24.13
793,BK-R89B-44,"Road-250 Black, 44",Bikes,Road Bikes,Black,44,14.77,Centimeter,R ,H ,U ,1554.9479,2443.35,888.4,36.36,134,208363.02,327408.9,2,Stock_Medio,Fabricado_Interno,4,75,100,478,1032,1808.52,1308.94,2443.35,1653397.49,0.0,0.0,10.91,25.45,7,4174.0,2012-05-30,,,2013-01-06,2014-05-29,Estrella,Margen_Medio,2176.78,1821.52,621.83,266.57,327408.9,24.03
966,BK-T79U-46,"Touring-1000 Blue, 46",Bikes,Touring Bikes,Blue,46,25.13,Centimeter,T ,H ,U ,1481.9379,2384.07,902.13,37.84,185,274158.51,441052.95,2,Stock_Medio,Fabricado_Interno,4,75,100,442,1002,1810.87,1311.24,2384.07,1586953.57,0.06,5.0,11.35,26.49,5,4178.0,2013-05-30,,,2013-05-30,2014-05-25,Estrella,Margen_Medio,2113.48,1752.53,631.54,270.59,441052.95,18.57
794,BK-R89B-48,"Road-250 Black, 48",Bikes,Road Bikes,Black,48,15.13,Centimeter,R ,H ,U ,1554.9479,2443.35,888.4,36.36,165,256566.4,403152.75,2,Stock_Medio,Fabricado_Interno,4,75,100,471,950,1836.52,1308.94,2443.35,1546471.89,0.0,2.0,10.91,25.45,5,4173.0,2012-05-30,,,2013-01-01,2014-05-30,Estrella,Margen_Medio,2176.78,1821.52,621.83,266.57,403152.75,18.09
